match_id,winning_team,mid_boss.team_claimed,1,2,3,4,6,7,8,10,11,12,13,14,15,16,17,18,19,20,25,27,31,35,50,52,58,60,63,64,65,66,67,69,72,76,77,79,80,81
84182024,Team1,1,0,0,0,0,0,0,0,0,0,-23485,32694,0,25164,0,-27480,0,0,25541,0,-25020,-25366,0,31039,0,0,0,0,-28464,-29680,28281,0,0,0,0,0,0,0,25242
84031989,Team1,0,0,0,0,-32362,21320,0,0,0,0,-25366,-30962,0,-26785,0,0,0,-35670,0,0,25754,22011,0,20945,0,0,0,0,0,20737,0,22801,-28354,0,0,0,0,0,0
84215024,Team1,1,-38561,32295,0,0,0,0,0,0,23447,0,-31214,0,0,0,0,-24309,26945,0,0,-27047,0,0,35417,0,0,23633,0,0,-29895,0,0,0,0,0,22693,-31886,0,0
84031547,Team1,-1,0,30585,0,0,0,21723,-28972,-28458,0,0,0,0,0,0,15842,0,0,0,0,0,19160,30028,0,-31462,0,0,-27264,24166,0,-33336,0,0,0,0,-28991,0,0,0
84786978,Team0,1,0,0,0,0,-25393,-29159,32976,28726,0,0,-19066,0,0,0,0,0,0,0,28972,0,0,0,0,0,29700,0,0,0,-21835,0,0,0,-26193,0,26024,-24468,27933,0
84248307,Team1,-1,0,25827,0,0,-22530,0,0,-23041,24610,0,21888,0,0,0,0,25904,0,0,0,0,-33009,0,30513,0,0,0,0,-25873,-30497,0,0,0,0,-25593,25968,0,0,0
84000115,Team0,1,0,0,-31914,0,0,0,27609,0,21726,0,0,28807,0,0,0,0,23912,0,0,-8341,-21716,0,0,-23796,0,23411,0,0,39619,-30688,-23119,0,0,0,0,0,0,0
84787195,Team0,1,0,0,-24528,0,0,0,0,0,0,-23864,29317,-25016,0,0,0,24242,-25230,26469,0,0,22714,0,0,0,0,0,-24665,0,0,0,0,0,-25136,23461,0,0,22883,0
84062977,Team0,1,0,-31960,0,0,-27633,0,-24331,24175,0,0,26521,0,0,0,0,26289,-31252,0,0,0,0,0,-24633,0,0,0,26691,30682,0,32840,0,0,0,-27842,0,0,0,0
84398093,Team0,1,38862,0,0,0,0,41260,28163,-23033,28455,0,-38229,0,0,0,28321,0,-24404,0,0,0,0,0,0,0,0,0,0,0,0,29411,0,0,-24135,-29529,0,-23732,0,0
84248613,Team0,0,0,-17966,0,0,0,-19185,-13042,-15006,0,0,0,0,0,0,0,0,0,0,24537,20211,22227,0,-14106,0,0,0,0,21568,26869,0,21786,0,0,0,0,0,0,-14641
84032167,Team1,0,0,0,23406,28465,0,-27039,0,-23984,0,0,0,0,-23639,0,0,0,-24460,0,0,0,0,25833,0,23301,0,0,0,-25245,0,25967,0,24322,0,0,-23824,0,0,0
84499032,Team0,0,-23797,0,0,0,-22304,0,0,-24130,26750,0,30482,0,-26894,0,0,0,0,33912,0,28649,30276,0,0,0,0,0,0,-28714,0,0,0,0,0,-31712,0,0,0,27452
84687850,Team1,-1,0,-31758,22213,-37956,-34167,0,0,0,0,0,-36628,0,23620,0,0,0,0,0,24544,25133,0,-30694,0,0,0,0,0,0,0,0,24863,0,0,-26445,0,0,0,28288
84845426,Team1,0,0,27530,0,0,29148,0,-28183,0,23454,0,0,27552,28981,0,0,0,0,0,0,0,-23012,-24294,0,0,0,0,0,28015,-25222,0,0,0,0,0,0,0,-29617,-26505
84122943,Team1,-1,0,0,0,-31003,17052,0,0,0,-27637,0,17121,-30420,0,0,-30191,0,0,0,0,19327,0,0,0,0,0,0,0,0,-35571,0,0,0,0,18819,17752,20698,-28372,0
84278538,Team0,-1,0,0,0,0,-22088,-33840,0,0,0,0,-22134,0,30783,0,0,-19730,31408,0,0,0,0,0,0,0,0,-19808,30387,-19889,30246,0,0,29252,0,0,0,32470,0,0
84498883,Team0,0,0,-21045,0,0,0,0,0,0,0,0,0,0,15884,0,-9381,0,-10839,15372,0,15179,0,0,0,0,-9284,0,0,0,15724,0,0,-10280,-14679,17343,0,0,0,16893
84687596,Team0,1,0,-25375,0,35483,0,0,0,0,0,-23306,-23138,0,0,-24710,0,-23065,0,0,32891,27336,0,0,0,0,0,0,0,26469,0,0,23485,27895,0,-28190,0,0,0,0
84309506,Team1,-1,0,-24218,0,0,20405,32425,0,0,0,0,0,0,-25496,-31268,0,0,-26744,0,0,24450,0,22157,0,0,-27390,0,30951,0,0,0,0,0,0,-25084,0,24192,0,0
84309452,Team0,1,0,0,0,-23655,0,-25148,0,29829,0,0,0,0,0,0,0,0,-24288,-23346,32620,29051,-23176,0,0,0,0,0,0,30690,0,0,0,-22590,0,30729,0,0,0,28957
84430660,Team1,0,23972,31737,0,0,0,-39761,-24098,0,0,0,-30131,0,24405,-30767,0,-24259,28584,0,0,0,0,0,0,-22579,0,25180,0,0,0,0,0,0,0,28764,0,0,0,0
84464056,Team0,1,0,33478,0,0,0,0,0,0,0,0,0,0,0,-14434,0,-24639,27802,-25708,0,0,0,24461,36064,0,0,26268,-24257,0,-25511,0,0,0,24453,-26393,0,0,0,0
