learning_rate,n_estimators,min_samples_leaf,min_samples_split,mean_test_score,std_test_score,rank_test_score
0.01138451865826491,364,236,6,0.57245082867082,0.012749597218301816,1
0.016273633580854766,168,231,2,0.5713008743039298,0.01157295049045705,2
0.013814740202072717,293,237,11,0.5713006097641629,0.010656636867373396,3
0.02002428799487915,237,243,9,0.5696863881062921,0.013463402833453895,4
0.015156754588299882,422,190,4,0.5694591484464903,0.006142023465971098,5
0.026972255915734,227,213,5,0.5683102522386678,0.010654884373343195,6
0.03646010437327465,126,60,5,0.5680782508630611,0.008751348637048207,7
0.04837936801942167,75,164,9,0.5680771927039932,0.007646254494891952,8
0.021609624417016284,238,223,7,0.5673901829292489,0.008053143334827722,9
0.02183043190862383,196,160,10,0.5673883311508803,0.010115458920204325,10
0.0212894367984807,341,204,10,0.5671613560308454,0.008845483637174406,11
0.03427333090324174,112,154,4,0.5669288255757047,0.0070504081093663495,12
0.03699496540147522,317,140,5,0.5667018504556698,0.02052724345484169,13
0.018608170253768028,321,134,9,0.5667002632170681,0.012001810153317903,14
0.020961497138373447,168,75,6,0.5666999986773013,0.007623846230895075,15
0.016351413561843785,293,195,11,0.5666978823591656,0.008108680582811494,16
0.024258384345512234,91,206,8,0.566470378159597,0.012272256843740538,17
0.024435675886305828,222,62,5,0.5664685263812282,0.011242401460428248,18
0.03902054047549216,192,201,10,0.5662418158009602,0.009085523705454714,19
0.010840423580798907,196,206,10,0.5662404931021255,0.010053425901515967,20
0.011014053148124647,225,212,10,0.5662378477044561,0.00777918052305608,21
0.011588455128870984,204,74,9,0.5660111371241882,0.008174478639117265,22
0.08760023434128854,137,154,10,0.5660106080446543,0.013878566082481947,23
0.1787768493198748,243,242,11,0.5657823102257846,0.014513698008379176,24
0.010002953121736848,321,124,4,0.5657772839702128,0.011803668432201016,25
0.28421781710333816,87,231,7,0.5655548060262159,0.01699577285882806,26
0.13797508097299893,268,249,4,0.5655492506911102,0.009707661144271974,27
0.014634597798758165,264,188,7,0.5655476634525084,0.009989504499178972,28
0.013612011521817102,239,78,9,0.5650910678147693,0.008704166081911815,29
0.01729914627036399,485,150,10,0.5650908032750024,0.013617864789014954,30
0.03273030997928859,160,148,11,0.5650894805761677,0.010304010341377077,31
0.029264283571735952,258,182,8,0.5648606536777641,0.008851359104336886,32
0.029410974203092875,389,169,5,0.5648603891379972,0.010501156627082687,33
0.05947177267788119,498,224,4,0.564634736716797,0.015143595037913541,34
0.04732636492626703,131,118,2,0.5646310331600597,0.013057788770612278,35
0.011883646691574264,197,180,4,0.5646299750009922,0.008362636259045667,36
0.41401973603297393,167,253,10,0.5646286523021574,0.009954294559625796,37
0.08450249952766248,281,230,7,0.5644037935002579,0.016817444446218213,38
0.053472798003331296,154,184,7,0.564403264420724,0.011000820332308257,39
0.042621567826973294,249,142,3,0.5644008835628216,0.012420567934222925,40
0.06528648592151282,374,241,9,0.564172321204185,0.014381868386020588,41
0.10001815172091168,150,62,5,0.5639432297660145,0.015008731065265424,42
0.01532122832928413,493,171,2,0.5639405843683452,0.013090758212092716,43
0.010180314636749035,477,190,11,0.5639392616695105,0.008487698378100086,44
0.046679989164300564,257,152,6,0.5637128156290094,0.015916848570279484,45
0.11209906956767744,218,231,11,0.563483459651072,0.016955957080600898,46
0.06911098732003584,333,224,10,0.5630263349337989,0.018804716368877983,47
0.0624671430859985,85,180,2,0.5627885136833195,0.009009673307675974,48
0.012117286483538353,496,60,8,0.5627869264447178,0.01395241732899159,49
0.059398707508428635,138,166,11,0.5625599513246828,0.01155118253708727,50
0.08586154859872316,388,231,10,0.5623340343637158,0.01398682736735691,51
0.08144766452365244,405,213,4,0.5623337698239488,0.01580324591390127,52
0.05306832168320726,204,112,3,0.5623284790286099,0.014950557396740276,53
0.07811792757621931,374,251,6,0.562101503908575,0.008717975894118454,54
0.04168029456196455,180,72,3,0.5620999166699734,0.012480615478614489,55
0.05522573485827359,366,125,7,0.5620988585109056,0.010909019997987377,56
0.07376124555419913,169,49,3,0.5618718833908707,0.013810196210762593,57
0.053109722445101266,142,62,10,0.5618700316125022,0.009722491557419008,58
0.04828064604049017,145,41,5,0.5616430564924673,0.014744679666036124,59
0.38192062288122075,505,204,6,0.5614102614975597,0.019371279008188264,60
0.16901175373215,134,232,7,0.5611848736161263,0.016905981604156177,61
0.01882181985432688,186,96,11,0.5611803764400883,0.007301107470256146,62
0.05726866386285431,484,64,10,0.5609539303995874,0.01749629714944224,63
0.010764576409301084,503,47,10,0.5609515495416849,0.010778497629779421,64
0.01403960759329391,494,75,3,0.5609502268428501,0.012659966984994591,65
0.010539246147812008,153,181,2,0.560719812705845,0.012147173878053922,66
0.031631467016506744,170,121,7,0.5607195481660782,0.008466603791663871,67
0.015131165557787159,194,115,4,0.5607174318479424,0.010564683972617233,68
0.2309280709961077,73,71,5,0.5604938957448778,0.014835183383771404,69
0.1562821788663007,309,38,2,0.5604925730460432,0.022702725511288616,70
0.021810211794409166,374,97,9,0.5604920439665093,0.011994627601597778,71
0.04354265662965064,130,126,5,0.5604915148869754,0.012377027297431257,72
0.5200451359041971,268,233,3,0.5602629525283389,0.014148827233606163,73
0.03859167276453582,292,133,4,0.5602613652897371,0.014852211242953835,74
0.0393487232265961,212,72,2,0.5600296284538974,0.012915089386370055,75
0.024965330681185217,497,213,11,0.5598034469531632,0.01633976522253095,76
0.34378203073091057,322,145,3,0.5598034469531632,0.018982942879398407,76
0.20303603797822725,79,195,7,0.5597986852373583,0.008656795695573443,78
0.03276260577527386,461,158,9,0.5595706519582556,0.015867483280039556,79
0.031147651754550185,196,52,11,0.5595685356401201,0.010135058536681417,80
0.04584659830292129,462,159,7,0.5593418250598521,0.01594056551964847,81
