learning_rate,n_estimators,min_samples_leaf,min_samples_split,mean_test_score,std_test_score,rank_test_score
0.10349797172367167,387,58,11,0.6833043662288534,0.004454053125722884,1
0.1172726581229092,277,91,8,0.6826120656587701,0.011647222981591971,2
0.10332873940871802,363,112,9,0.6823842969194345,0.009150780574710964,3
0.10065911884312265,394,50,2,0.6821538827824293,0.0054471693223655405,4
0.07250119521873705,481,73,3,0.6819210877875217,0.010506711952918815,5
0.110458455507659,453,127,2,0.6816909381902836,0.008527692512058016,6
0.054208919463839836,481,60,2,0.6807716625001653,0.006165503125418003,7
0.17726648865494918,320,88,10,0.6803148023226592,0.013125381190287192,8
0.18494942088968103,486,107,2,0.6803132150840574,0.007212071664973976,9
0.40170703275456443,270,67,4,0.6800859754242555,0.007540084197815946,10
0.1657018642388093,416,71,5,0.6800857108844888,0.006815562500623262,11
0.22164058823900207,222,54,2,0.6789362855971325,0.007243577563947979,12
0.15464015155237357,497,75,7,0.6787048133010595,0.010739202807258631,13
0.25279325249926105,233,72,8,0.678013570890044,0.009369850574866221,14
0.1448956441098313,439,122,2,0.6777826276735051,0.008897048266227003,15
0.23019585738012593,422,100,5,0.6773255029562318,0.012072498748474348,16
0.235440867744123,179,67,4,0.677324444797164,0.0061129342311762825,17
0.35745514348904406,186,74,7,0.6768649392219885,0.009820987396772101,18
0.06463535705613496,419,13,9,0.6768617647447852,0.009736075465447094,19
0.1663676526576771,249,119,8,0.6766289697498776,0.012514018329469023,20
0.28027829176196534,270,99,3,0.6764067563456477,0.0086625936315471,21
0.1882403922339063,341,85,10,0.676174490430274,0.008312317201142835,22
0.06519636990204929,449,39,5,0.6759395791172308,0.008620300314265647,23
0.16646169574262382,477,196,6,0.6757112812983612,0.007798827635915461,24
0.1741851826165542,322,33,5,0.6750237424440828,0.0058004345885317304,25
0.3301712577468452,236,212,8,0.6747957091649803,0.013118150882867585,26
0.13105315047645827,350,139,9,0.6745605333121701,0.01119549121095183,27
0.4271957576321951,75,104,9,0.674334616351203,0.01103586489107451,28
0.20083922702731996,486,142,11,0.6743322354933006,0.007910612123818722,29
0.19816639786858425,383,245,4,0.6738732589976589,0.0051071613720704255,30
0.37038285010122257,249,134,2,0.6736428448606537,0.012068354918529239,31
0.19772070265386918,505,117,7,0.6731843974445458,0.007822288579634552,32
0.10443994161572082,273,194,6,0.6729539833075406,0.014390286239441514,33
0.18752475843426147,319,17,2,0.6727214528523999,0.008048923161566197,34
0.18515320773159843,288,239,11,0.6720362948560241,0.017795343249361124,35
0.10171434601112676,288,13,10,0.6718032353213497,0.013375864505870055,36
