learning_rate,n_estimators,min_samples_leaf,min_samples_split,mean_test_score,std_test_score,rank_test_score
0.30162190646002046,275,218,7,0.7325185508511567,0.010199150138927394,1
0.152951962864028,367,133,10,0.7313685964842664,0.012617752839470826,2
0.08262441897619616,349,239,2,0.7306815867095222,0.011237429015805855,3
0.24860461249785537,186,129,5,0.7302228747536473,0.009408839504899123,4
0.08429682006875121,465,240,11,0.7299903442985067,0.01030842516019967,5
0.1316627216885722,388,202,6,0.7297617819398701,0.007664423173458299,6
0.1456033936184055,353,187,7,0.7295329550414665,0.010494347649608113,7
0.16145292155487528,266,236,2,0.7293009536658597,0.006955319557232449,8
0.1183861048746261,218,236,11,0.728841977170218,0.00864783005142788,9
0.13232460749583227,332,19,8,0.7281520574580373,0.01209209805854554,10
0.23709983768358434,422,175,2,0.7279234950994009,0.014281645581303534,11
0.17360823087279595,219,155,10,0.727922436940333,0.010254470200616072,12
0.06530309409740556,472,221,2,0.7279208497017315,0.011880280450398574,13
0.19935096798948934,329,163,10,0.7276917582635609,0.007750123016076445,14
0.1761035485108364,502,108,8,0.7276912291840271,0.007695736658476483,15
0.2901336155780675,224,110,5,0.7276888483261247,0.01016610889650984,16
0.13455618306971337,349,106,6,0.7276885837863578,0.011398064007185795,17
0.6624093670614153,121,254,7,0.7276875256272899,0.01063604728013045,18
0.3635210351421677,120,167,8,0.7274605505072549,0.008518887042039338,19
0.3641256543591343,301,137,3,0.7274594923481872,0.013337097646556237,20
0.14473193019548958,184,123,6,0.7272269618930465,0.010167704156910033,21
0.15936635664125257,326,110,4,0.7270007803923125,0.014075009142347248,22
0.057474407855066675,485,194,7,0.7267722180336759,0.010162484730360946,23
0.07771900997512038,497,203,7,0.7267708953348412,0.008440194292248845,24
0.15735069428123372,413,13,9,0.7267685144769388,0.011930291340339625,25
0.47338100090530555,74,249,4,0.7263090089017632,0.012577706551747407,26
0.13688491793627888,497,141,7,0.7263084798222292,0.009554057551932298,27
0.34226541874700284,94,196,11,0.725621205507718,0.007712177175422252,28
0.4009879920771029,192,249,11,0.725389997751412,0.011940899329514282,29
0.29975194041875636,338,220,10,0.7253892041321112,0.008043196167105672,30
0.19445490677064917,133,119,4,0.7253873523537425,0.0149591654837994,31
0.07217341280223077,363,177,6,0.7251624935518431,0.008887736986979408,32
0.08136752307039809,421,213,2,0.7251606417734746,0.011625477774983423,33
0.1414480710176663,161,245,7,0.7251601126939408,0.010235334627231517,34
0.13932325560244427,293,174,8,0.7249344602727404,0.012847715472530073,35
0.35094647681892344,77,187,2,0.7249304921762364,0.009279059040438438,36
0.05966169671718704,478,11,8,0.7249291694774016,0.011203125216412356,37
0.6214345206972657,82,244,6,0.7247006071187652,0.013688621566793168,38
0.09549584768568459,474,69,5,0.7246998134994642,0.009529609159693314,39
0.15835923891977913,158,124,3,0.7246979617210958,0.008720138886806466,40
0.45268747751245475,198,185,4,0.7244728383794293,0.009691951618681978,41
0.12192903563043073,238,125,8,0.7244675475840906,0.008883477508806107,42
0.09141676029748787,243,204,9,0.7242424242424244,0.009921050789467924,43
0.20571088764863693,225,142,9,0.7240120101054192,0.008098249703213536,44
0.13180555598218782,255,86,5,0.7240093647077497,0.009276582606898467,45
0.38820216179797484,317,135,11,0.7237829186672486,0.01440276778820512,46
0.228858889701835,132,216,6,0.7237810668888802,0.010347737381621189,47
0.17502010916021668,270,84,9,0.7237789505707445,0.01198137500456365,48
0.20142946383591334,170,197,7,0.7233226194727723,0.010359628589874112,49
0.13335918726874826,494,32,4,0.7233205031546367,0.010164621594568239,50
0.25134977235115663,317,232,10,0.7233199740751028,0.009586922635753836,51
0.3103630385477293,72,186,8,0.7230908826369323,0.014811924390377807,52
0.1697025181940461,315,80,11,0.7230898244778647,0.012753135356550685,53
0.7417700627520583,151,191,6,0.722861262119228,0.01014977231752028,54
0.22840562695784006,501,186,5,0.7226329643003584,0.0110133819121946,55
0.26934576230817187,114,25,10,0.7226324352208245,0.013567561395524553,56
0.23707795940930373,119,140,7,0.72263111252199,0.006717711267931191,57
0.07603366926134288,323,132,4,0.7226284671243205,0.007348231889890385,58
0.053367760244297964,446,139,11,0.7226279380447865,0.010995292526109476,59
0.43931902030073083,487,205,7,0.7224022856235864,0.014531127557063902,60
0.4220145984795583,482,230,11,0.7223988466066162,0.012963129519950078,61
0.05699387494743396,473,6,5,0.7223975239077813,0.01024288967351255,62
0.4568762998299546,155,186,11,0.7219427800484108,0.007184797535861585,63
0.7234612765415642,303,243,2,0.7219385474121397,0.009199110412419862,64
0.05553052088429,410,96,11,0.7219356374747034,0.011412331579166777,65
0.41367777923804755,416,107,2,0.7217094559739693,0.011489105433153535,66
0.22341715449516147,373,82,11,0.7217081332751345,0.009258289957591953,67
0.16919873005243333,253,24,8,0.7214824808539344,0.01288827418645399,68
0.1473041289513381,379,26,11,0.7214816872346336,0.018741087601489886,69
0.04445116974065381,496,223,4,0.7212510085578614,0.007082189827446083,70
0.2600068258810016,378,136,7,0.7212507440180945,0.008002146722852673,71
0.06114805417023698,312,231,6,0.721021652579924,0.009899872231915609,72
0.28255359734172475,422,161,5,0.7205605597661469,0.010010198818962718,73
0.06743336262679242,440,95,7,0.7205573852889435,0.011520311765034118,74
0.07045988002733558,278,96,9,0.7205571207491765,0.008884960045267709,75
0.11838299070893842,129,20,3,0.7205557980503419,0.015422939062115046,76
0.2875140609237357,361,84,11,0.7196373159795246,0.010474520857466169,77
0.05992042377985615,461,70,8,0.7194090181606552,0.012728290197788567,78
0.04810405381547063,368,36,8,0.7194063727629855,0.014423900472346143,79
0.2222474966541767,308,8,5,0.7191854820575904,0.009835426536701913,80
0.6974275399909973,235,181,4,0.7187212147666098,0.009692255130039594,81
0.4965272482060049,335,161,7,0.7184905360898377,0.008423801096288134,82
0.046255785537147875,411,185,4,0.718488948851236,0.008188084223815737,83
0.05683090921929443,334,111,10,0.7184852452944989,0.013931061950834094,84
0.6906895649517829,214,193,8,0.7182617091914342,0.012912634953714546,85
0.2743427454104903,286,87,7,0.7182577410949301,0.014446993974692885,86
0.2183634657599871,142,2,6,0.7180334113725646,0.015501585886959697,87
0.13667941192619876,106,159,3,0.7180283851169927,0.006522662463848953,88
0.6680196024251659,293,120,5,0.7180267978783911,0.011683470202196067,89
0.5470066402920467,120,40,3,0.7175725830985542,0.014954816062403238,90
0.23012968988820412,97,211,11,0.717342698041083,0.010182963153829022,91
0.0909739778666328,136,235,3,0.7173405817229476,0.01137057069670633,92
0.5794857161603018,433,235,11,0.717111490284777,0.006286024334759576,93
0.89944041385756,150,126,11,0.7171088448871077,0.010170014101323871,94
0.08171609861412969,377,74,8,0.7171085803473407,0.010358135381999737,95
0.5366019662975718,143,45,3,0.7171083158075737,0.0129080087692449,96
0.422221055465188,182,29,2,0.7168823988466066,0.012766351363794748,97
0.4542289881036996,482,164,9,0.7166506620107668,0.017737608558979927,98
0.06050859455827012,256,205,9,0.7164207769532955,0.00784360317973225,99
0.0557451801703195,393,27,6,0.7164199833339946,0.013353409626103704,100
0.5926313539884861,296,186,5,0.7161927436741927,0.013889727647229528,101
0.036823757612479496,354,164,8,0.7159580969009166,0.008830855881005342,102
0.4889883416793839,178,96,5,0.7159557160430141,0.018236272378079888,103
0.23814581785114688,479,61,9,0.7157292700025131,0.012076665946532724,104
0.04281471256056146,361,169,9,0.7157290054627462,0.008661317334981293,105
0.4463707001820122,369,73,3,0.7157266246048437,0.013806885492647981,106
0.05284022584849545,417,42,9,0.7157250373662422,0.01451273490604698,107
0.4816330698434899,290,87,4,0.7154935650701691,0.016727910739424444,108
0.4099251004678562,474,43,7,0.7152689708080369,0.008909481754514035,109
0.06581057515022802,225,170,3,0.7152673835694351,0.00953410130420116,110
0.0392379635787467,333,163,8,0.7150382921312647,0.008595088350956908,111
0.46850740610227465,308,210,2,0.7148139624088993,0.011153524053780766,112
0.029536366889990114,430,143,4,0.7148076134544926,0.00826186996000522,113
0.17936394917587029,121,69,5,0.71434784333955,0.011323744991350575,114
0.05515857792822189,356,29,7,0.7143473142600161,0.015065128651472524,115
0.48458118664286787,433,14,5,0.7136645371215428,0.015139779957577022,116
0.04892788863264741,327,92,5,0.7136573945478354,0.0077781483557364615,117
0.0537783439121267,290,83,5,0.7134269804108303,0.011777405448962327,118
0.5855764459733958,244,114,8,0.7129706493128579,0.009239597917094434,119
0.035799601473104584,300,4,10,0.7127370606986496,0.016993385365094205,120
0.3975186062572575,483,50,4,0.7127365316191157,0.013565476996529878,121
0.5894940866263552,360,175,10,0.712512466436517,0.015200009146923649,122
0.03610140987348842,325,135,9,0.7120492573046044,0.006041129973954411,123
0.11583886503094708,111,3,3,0.7120455537478672,0.013072789325600067,124
0.03579939804351091,368,75,6,0.7118183140880652,0.01212832850172107,125
0.06919708910722937,163,114,8,0.7118175204687645,0.009369890607404712,126
0.045125003470717136,238,215,6,0.7115900162691957,0.01173193354413536,127
0.39893443345280605,422,71,8,0.7115857836329246,0.017311129586223332,128
0.02904281993662325,352,2,8,0.7113580148935889,0.011098263707524064,129
0.036036402461401516,374,70,8,0.7113566921947542,0.013414276335611899,130
0.03712210118995543,335,113,9,0.7106696824200098,0.004912029542684592,131
0.04748072718582854,220,109,5,0.7106688888007089,0.010968244761886087,132
0.03202104005311434,366,88,7,0.7104382101239368,0.0105635894924185,133
0.7071647154350952,307,104,10,0.710437681044403,0.013304202345872597,134
0.6588359331956731,158,92,8,0.7102067378278639,0.01416168798322745,135
0.789747496725941,69,112,3,0.7099787045487613,0.01044888216461422,136
0.6128817546452439,436,249,6,0.7099784400089943,0.009669326549736483,137
0.021897200205159877,473,158,5,0.7099781754692274,0.009287082477594424,138
0.030006804175270844,373,100,6,0.7092877266775128,0.009666651123197709,139
0.6959879731512064,426,6,11,0.7090607515574779,0.011814792354002714,140
0.7075259448589466,306,74,7,0.7085951615676626,0.01746294801146842,141
0.0494548343019771,208,122,10,0.7081388304696903,0.006444568276103575,142
0.021602866509527495,443,42,3,0.7072182320807376,0.012223505925199595,143
0.05458194405411975,137,131,4,0.7067568747271935,0.009848447079127576,144
