learning_rate,n_estimators,min_samples_leaf,min_samples_split,mean_test_score,std_test_score,rank_test_score
0.271234558105963,77,126,3,0.5715275848841977,0.01083202766174996,1
0.02997768337873288,235,129,10,0.5712918799518537,0.013246964543163993,2
0.016479460151392383,350,131,6,0.5699130986865601,0.009582938711282792,3
0.011310691422733289,316,145,6,0.569224237133447,0.0072156192703833385,4
0.03580276054869754,142,115,7,0.5689925002976072,0.00884985401673239,5
0.10193396041067922,264,132,10,0.5687668478764071,0.015815896072181375,6
0.13748944763157123,103,96,3,0.5685361691996349,0.010367951865778602,7
0.03744885511421573,410,126,8,0.5685343174212664,0.02017793848997433,8
0.016718528010457926,387,128,7,0.5678420168511832,0.011862017915823414,9
0.05170537764268093,314,116,8,0.567158446093409,0.0152355848838883,10
0.04795290124999659,198,30,8,0.5664658809835588,0.014788797623451574,11
0.12602938924584076,223,121,10,0.5662375831646893,0.017708465952599013,12
0.08394857602487468,217,118,4,0.5662362604658545,0.01644284660303854,13
0.033627774717053374,492,132,3,0.5662349377670198,0.01409336738286169,14
0.12315811792512284,301,33,4,0.566011666203722,0.023017351318795752,15
0.034399592947144855,394,145,4,0.5653124875996985,0.01558568543124172,16
0.018452503367323247,508,144,11,0.5653122230599316,0.014828492425718685,17
0.09076228454741092,336,119,10,0.5650889514966337,0.014063782204170141,18
0.15980938986543083,233,119,3,0.565087893337566,0.01582933895211968,19
0.022210302595737308,299,135,9,0.5650826025422272,0.01103543751992485,20
0.03506789209566366,168,203,3,0.5648590664391625,0.006455646628574343,21
0.013558185249134009,496,109,3,0.5648543047233575,0.00936097136652243,22
0.04995155780501309,290,104,8,0.5646320913191275,0.020090401486709188,23
0.03634528855127036,129,125,8,0.5646233615068185,0.007599941523320298,24
0.013035379932677105,438,55,8,0.5641659722497785,0.009843239517008742,25
0.022409530912548475,221,108,9,0.5639334417946378,0.010953182928256986,26
0.04080482916976326,137,119,4,0.5637027631178657,0.010319562559266958,27
0.029898593761720174,161,188,2,0.5634755234580638,0.004405330040275277,28
0.01769072198604759,145,132,7,0.5634739362194623,0.012974794478169864,29
0.044990424464211407,221,93,2,0.5634734071399283,0.009404732029739247,30
0.5153381304063775,194,241,7,0.563248548338029,0.015456555740331734,31
0.022040584918770995,119,80,5,0.5630168115021891,0.008784284676613323,32
0.07129235405247926,313,76,10,0.5625615385632845,0.012950451997177577,33
0.03268899592027682,377,47,9,0.5625588931656151,0.010566296587260198,34
0.04595119866937593,257,73,4,0.5625562477679458,0.013468795827391862,35
0.15821932346334538,298,65,5,0.5623316535058134,0.01017569104671352,36
0.12441208772939728,254,64,9,0.5623284790286099,0.014160578720326817,37
0.3347028810915902,73,124,5,0.5620996521302064,0.017543913725186853,38
0.0854603786495493,502,132,9,0.5620985939711387,0.018279814499443235,39
0.025431208332236332,414,150,9,0.5620914513974313,0.016176211491318884,40
0.2554560636488053,447,216,10,0.5618732060897055,0.022412175557807897,41
0.029912182964112563,244,200,5,0.5618652698966973,0.005176188584725425,42
0.05279617565662756,463,145,2,0.5618639471978625,0.01950126521695828,43
0.049857634154376856,456,69,3,0.5616398820152639,0.01439050536870618,44
0.1728289437244793,367,132,2,0.5616390883959631,0.025631605571357564,45
0.03620890713629121,322,28,11,0.5616388238561962,0.012470948591768108,46
0.03475266588471104,249,74,9,0.5616359139187599,0.009786247912925672,47
0.055312112194962355,436,96,11,0.5614070870203565,0.01407305137103818,48
0.1787405700754151,451,248,5,0.5611811700593892,0.015089388942580011,49
0.3529166367241638,430,207,11,0.5609534013200534,0.015793133593022434,50
0.1060407457882928,346,79,7,0.5609502268428501,0.017221045366721994,51
0.03419101368607047,187,17,5,0.5609499623030831,0.009354328377131694,52
0.09137826247376714,403,228,8,0.5609496977633163,0.016708413676196472,53
0.1749954053723353,378,88,9,0.5609486396042486,0.012795537684749099,54
0.07983315679000366,161,167,2,0.5609446715077444,0.00873254353545304,55
0.012135641355236823,358,203,2,0.5602563390341653,0.004396540907191517,56
0.12166199709850105,230,232,6,0.5600290993743634,0.010694635419299282,57
0.09319565107271599,112,66,8,0.5600259248971602,0.011982960599955569,58
0.39593371098370755,438,223,9,0.5598015951747947,0.012588442712211252,59
0.05870998471244579,310,89,10,0.559796039839689,0.016735538499154972,60
0.02939650304607503,113,159,5,0.5597955107601551,0.00662050913755286,61
0.011313022801769636,357,166,5,0.5597955107601551,0.00470137908005068,61
0.17718091408159398,326,237,9,0.5595730328161581,0.013991165477961693,63
0.3464219251117952,162,171,11,0.5595688001798871,0.012819136675100177,64
0.06396380447477353,312,97,8,0.5595653611629168,0.018868750080229372,65
0.13984813522784373,507,192,8,0.5593405023610174,0.011465914755164116,66
0.18405130698803404,163,47,9,0.5593378569633479,0.008132666179877688,67
0.14277662189157786,319,141,7,0.5593375924235812,0.02402460064638999,68
