learning_rate,n_estimators,min_samples_leaf,min_samples_split,mean_test_score,std_test_score,rank_test_score
0.1274404654984934,472,138,8,0.6874441490417047,0.012931287146209466,1
0.11261476060860807,296,120,2,0.6851463566260598,0.014300871660700865,2
0.17465397015969344,195,128,7,0.6851442403079243,0.012068670719738458,3
0.3074657735874354,113,113,8,0.6839942859410341,0.018063535655924168,4
0.14536475488471445,330,229,2,0.6833075407060567,0.018164598931427224,5
0.08467994977205001,498,143,5,0.6826141819769057,0.015509603796606753,6
0.2613650563173523,272,113,9,0.6823845614592012,0.016675544964690793,7
0.07469350717787895,356,126,11,0.681466343928151,0.017259919485323714,8
0.1447252458289699,280,138,11,0.6814647566895493,0.017042586569136865,9
0.05766190907419052,368,120,9,0.680315331402193,0.015038026818996497,10
0.06235101324743778,487,160,5,0.6803150668624262,0.016692052681726743,11
0.08423153352800683,287,117,5,0.6803140087033585,0.011844777810335346,12
0.12069965081156382,181,208,7,0.6796262053093132,0.015553510939590533,13
0.18028938380695902,197,216,4,0.679622237212809,0.014747544064904326,14
0.07961487017300276,419,167,6,0.6793947330132403,0.013835230757289617,15
0.04724646646899166,384,170,10,0.6791672288136714,0.012670705305190894,16
0.20405310707303587,303,20,5,0.6789410473129374,0.02271133234817163,17
0.18418819352667493,287,63,5,0.678938137375501,0.01587946657673139,18
0.0891086940140882,261,136,9,0.6787056069203603,0.01574858500486127,19
0.08542581049799551,403,109,7,0.6784757218628891,0.016754269653061597,20
0.20660934672655756,212,191,5,0.6784743991640544,0.008185499996337107,21
0.042858021440939545,430,123,8,0.6784743991640543,0.017427176560827908,22
0.19283000725708796,219,226,10,0.6780159517479465,0.01397594515471535,23
0.28639835985449846,355,125,9,0.6780151581286458,0.016644399206679615,24
0.2869401618413878,156,237,7,0.6777892411676785,0.018709642054057455,25
0.44016488648394514,225,243,6,0.6777865957700092,0.015710557983192493,26
0.36522825968860734,179,114,10,0.6777847439916406,0.02028220437097379,27
0.544156357852421,151,188,11,0.6775545943944025,0.011716744480253817,28
0.10532447024499532,503,237,2,0.6768689073184927,0.02378741601097757,29
0.37874841511580104,143,194,5,0.676636641403119,0.010807095837366849,30
0.2738917061772128,303,181,6,0.6766366414031189,0.013604027838326892,31
0.12372692224519358,149,98,5,0.6766355832440512,0.021008754350825852,32
0.05194901031598725,364,102,10,0.6766339960054496,0.01629043485487099,33
0.4766929633105064,73,212,4,0.6764080790444824,0.016075948417554102,34
0.08032238189713226,305,210,7,0.6764054336468129,0.011370363512596342,35
0.2488076767143524,450,241,4,0.6759491025488407,0.01882128203006198,36
0.142422103237199,215,223,8,0.6754864224964618,0.01732420454698467,37
0.3180327125664485,210,239,4,0.6752565374389905,0.016634369410883608,38
0.2568103374673856,283,102,11,0.675254685660622,0.019352242131083015,39
0.31171592948001003,416,213,10,0.675254685660622,0.006316104375338957,39
0.38342418442892345,316,40,5,0.6750263878417523,0.01903300192098451,41
0.2765894830724714,503,163,9,0.6750255942224516,0.012951418263616747,42
0.12956239507810577,261,52,2,0.6747972964035819,0.017083055921619055,43
0.0931939555397555,228,144,3,0.6745645014086742,0.01584899616507322,44
0.04762327508254139,427,152,5,0.6741052603732656,0.014226596304366259,45
0.2868380273025146,89,197,4,0.6738785497929977,0.01687866827780184,46
0.036946323819797414,490,178,3,0.673876698014629,0.013051933249784587,47
0.28282421411617653,98,181,10,0.6738761689350952,0.013615324017918424,48
0.35265898308823135,301,211,6,0.6738748462362605,0.009406352860638904,49
0.6012763795853817,381,155,11,0.6736491938150603,0.01814649137834446,50
0.29388927590093983,367,111,3,0.6736465484173909,0.014578167603419083,51
0.35304870256026966,89,143,2,0.6736452257185561,0.011510889700009314,52
0.11801152893148174,164,24,7,0.6734208959961907,0.01997261339926137,53
0.041833529029312776,436,152,2,0.6734171924394534,0.017005421457601064,54
0.10723235089491992,493,1,8,0.6734137534224833,0.013931385916141566,55
0.2955509015824132,175,56,7,0.6731883655410499,0.01377485679613098,56
0.20356871180816286,205,216,11,0.6731878364615161,0.014277327987397786,57
0.07185694952256465,234,167,2,0.6729582159438118,0.016198905203239487,58
0.3018806780967335,354,39,3,0.672957157784744,0.01215742302869036,59
0.15998612471147916,503,66,4,0.6727278018068066,0.015143102116278902,60
0.4497292504236008,297,210,6,0.6727264791079719,0.010419851353040018,61
