learning_rate,n_estimators,min_samples_leaf,min_samples_split,mean_test_score,std_test_score,rank_test_score
0.17700742321795357,459,177,10,0.7999074110815709,0.008856881038399366,1
0.34143975125884973,310,176,6,0.7999058238429693,0.006570880815095905,2
0.1273993665702833,504,136,4,0.7996754097059641,0.016378938249073712,3
0.1632830998993076,396,94,9,0.7994452601087259,0.011424764447245113,4
0.11635425035559023,457,124,2,0.7989854899937834,0.016764074386486118,5
0.27986057264991787,371,200,4,0.7987590439532821,0.007422411006186976,6
0.14735892206963713,474,102,11,0.7982976865997381,0.012593378137245115,7
0.24240959358539269,408,136,7,0.7982955702816026,0.011394481052137936,8
0.14578398994995542,448,253,3,0.7980672724627329,0.007059681439158902,9
0.37113451771873707,405,174,9,0.7978352710871263,0.006882324129337715,10
0.23613353109830637,329,156,3,0.7976098832056928,0.008924272190327329,11
0.3496671132454766,175,96,6,0.7976082959670913,0.010811500147495472,12
0.13842522593716527,488,127,5,0.7976069732682565,0.015096180534992015,13
0.19862280142611524,228,153,9,0.7971495840112165,0.011436927201246538,14
0.2425208471361398,459,88,8,0.7971485258521487,0.012175552034622,15
0.28370621376784666,276,87,8,0.797147203153314,0.0115727896338813,16
0.15440759643942836,507,143,10,0.796689549356507,0.01289595636633884,17
0.2558229685459748,184,171,7,0.7964599288388026,0.008892741065580963,18
0.1862223678343537,459,187,5,0.7964575479809002,0.0069893051218864735,19
0.35213401641769065,344,155,5,0.7964572834411332,0.008312143818721666,20
0.2984184246273473,198,83,10,0.7962273983836619,0.007832602958713528,21
0.3260851381982374,136,220,9,0.7959983069454915,0.007465576926869461,22
0.07897893893184574,499,196,11,0.7957689509675542,0.01012693676800328,23
0.14503269058551907,447,173,5,0.7957681573482533,0.008771395543596077,24
0.349523396308415,301,170,3,0.7955388013703161,0.008095943597944648,25
0.14299031223462325,228,166,8,0.7953075936140099,0.009409022324826466,26
0.13806432501621052,303,222,2,0.7953070645344762,0.0049771578533141635,27
0.19284299982857137,504,214,6,0.7953070645344761,0.00722994360335653,28
0.26300800022848514,219,168,4,0.7950787667156065,0.008570539944038755,29
0.12487124470301622,441,219,6,0.7950785021758395,0.006864040783835116,30
0.2774940909797693,308,245,5,0.7950785021758395,0.00983826037223071,30
0.12088856995519973,368,98,10,0.7950769149372379,0.009551585487978742,32
0.1719293006622081,274,187,2,0.7948496752774361,0.010596137884842937,33
