learning_rate,n_estimators,min_samples_leaf,min_samples_split,mean_test_score,std_test_score,rank_test_score
0.2152987137984647,174,128,10,0.5758964591352196,0.010741109365667434,1
0.019253249192273433,440,17,9,0.5752081266616405,0.003827203202413493,2
0.02533884926741514,477,141,6,0.5749758607462667,0.0048404176416057005,3
0.1409790338229849,478,240,6,0.5742896445908231,0.014251467128975792,4
0.05813984650798879,360,67,7,0.5735957567821384,0.007915077420885605,5
0.04617330662498708,271,34,6,0.5735939050037697,0.015211920720491962,6
0.02527268485364715,443,118,2,0.5729066306892584,0.012608376349174381,7
0.23114344695244424,211,128,9,0.5724489768924513,0.011129193358921237,8
0.0517470742874778,367,90,2,0.5724476541936168,0.011256397973495522,9
0.03822796352617242,303,129,10,0.5724473896538497,0.004290636169985526,10
0.03995567983107909,334,184,8,0.5717582635609698,0.0060701241313231204,11
0.36488581113548635,284,117,4,0.5717558827030673,0.011439380263893547,12
0.04043800685169138,345,140,10,0.5715262621853631,0.007008782006037238,13
0.026369456591035585,405,117,5,0.5715259976455961,0.014633853508367142,14
0.03677565941785775,457,66,2,0.5712961125881248,0.012018757006964366,15
0.11559841285887185,400,220,4,0.5710707247066915,0.010025993426019092,16
0.027963022599641268,487,70,5,0.5710654339113528,0.010899347738142034,17
0.18298248851430612,386,85,4,0.5706056637964101,0.008789686130834702,18
0.01891216259874308,491,116,5,0.5706053992566432,0.012675524378564371,19
0.030279501592352494,481,8,2,0.5706035474782747,0.00906807596089994,20
0.013946345082521521,481,12,6,0.5703778950570746,0.006562301632248034,21
0.029506131921310165,334,56,2,0.5703736624208033,0.01602120977146391,22
0.1325379737525709,461,139,4,0.5701495972382048,0.009656609090235982,23
0.037218122641139224,201,43,6,0.5701437773633321,0.015345625189963956,24
0.024801478412051343,449,86,3,0.5696855944869913,0.015343179037704447,25
0.015874641105517538,345,104,11,0.5696787164530508,0.021149027752630056,26
0.07053699672116366,253,248,11,0.5694623229236935,0.010085384157787695,27
0.11279594621163647,447,239,5,0.5694596775260241,0.004741547466239579,28
0.05292060170764336,147,62,11,0.5694525349523167,0.017881501439507126,29
0.023705065026790113,285,127,7,0.5692266179913495,0.010173540700180112,30
0.040677322141745964,205,111,6,0.569225295292515,0.01327097846352401,31
0.11148758338285811,251,34,11,0.5690014946496833,0.009008218963678274,32
