learning_rate,n_estimators,min_samples_leaf,min_samples_split,mean_test_score,std_test_score,rank_test_score
0.2271024357761698,304,193,8,0.7267693080962396,0.012449878722897507,1
0.1604906178914135,310,215,5,0.7263055698847929,0.017240185276320673,2
0.27544916029064215,219,237,3,0.725159054534873,0.01621550876969779,3
0.1275518718411656,491,204,11,0.7249262595399653,0.016936823660063105,4
0.3291057095021225,219,201,9,0.7242387206856871,0.012313103308567698,5
0.3694018402788024,71,128,4,0.7240112164861183,0.008252433779354437,6
0.4446511242912661,236,200,8,0.724008306548682,0.014955895012045736,7
0.2699007617314465,488,207,5,0.7237781569514438,0.010498778135656625,8
0.22838850257896554,320,205,10,0.7237765697128421,0.017992171494526327,9
0.34595571422468385,94,207,8,0.7235445683372353,0.01586018396190044,10
0.7161963848193833,102,187,7,0.7233154768990648,0.023409811674190872,11
0.08542537460166365,462,186,6,0.7226295252833882,0.011448850482264654,12
0.1502933992650747,468,39,7,0.7226250281073503,0.01867802911975263,13
0.11663216252412942,335,214,2,0.7223975239077813,0.016302953135110005,14
0.13949307664113847,369,243,2,0.7223964657487137,0.016751461682002394,15
0.07868753070026253,464,173,7,0.7221679033900772,0.011494588751966805,16
0.4623976020235601,97,161,10,0.7221655225321746,0.018460064942783332,17
0.2144830663283821,476,255,6,0.7214790418369642,0.010402061364141237,18
0.3545908568665567,128,109,10,0.7212507440180946,0.0058601517922309675,19
0.3303463614407018,472,191,7,0.7210203298810893,0.016591345410802125,20
0.36007683717263006,212,189,9,0.7205608243059138,0.01441769199470323,21
0.32508793812471115,103,185,7,0.7196351996613891,0.017553983060855635,22
0.3450765361118146,138,178,8,0.7191767522452812,0.013254630888252954,23
0.4452953628006049,485,162,11,0.7189516289036149,0.003991530081712894,24
0.11629115249123721,280,245,2,0.7189481898866447,0.013028690937948888,25
0.3831048738479561,117,122,4,0.7189455444889752,0.013403110690848425,26
0.17934514992444753,319,37,9,0.7187175112098727,0.013748174903964721,27
0.2886222971334609,451,16,7,0.7184947687261087,0.013458184299548637,28
0.05446777494410358,462,249,10,0.7184900070103039,0.012121521314719904,29
0.09058774035261524,366,108,6,0.7184892133910029,0.013396015087903376,30
0.21813688570934023,243,170,6,0.7184886843114693,0.010565853441812992,31
0.1055716484677908,338,205,8,0.7184860389137997,0.015445771521063256,32
0.08444137660450413,265,183,2,0.7182564183960954,0.013291944931661191,33
