learning_rate,n_estimators,min_samples_leaf,min_samples_split,mean_test_score,std_test_score,rank_test_score
0.12851756675798426,427,127,10,0.7941547293096834,0.012755452213869815,1
0.30263595705488705,435,143,7,0.793237040858167,0.00596677117756063,2
0.1500579184463723,479,150,6,0.7932333373014298,0.012198594557370615,3
0.23229790016948915,349,180,4,0.7923164424692142,0.00796940754427216,4
0.18165491672410988,246,83,6,0.7920839120140735,0.00994243732494783,5
0.17217314687554852,244,94,7,0.7918564078145047,0.011369039772867729,6
0.2105928777088938,231,124,4,0.7913939923018928,0.012845430537755543,7
0.24119129206400078,268,232,5,0.7907059243680805,0.009112428662454182,8
0.29543452991415414,313,232,8,0.7907046016692459,0.00991735183947804,9
0.18368420521481485,376,173,5,0.7904749811515416,0.01063887992185368,10
0.19324498338556897,356,153,4,0.7904736584527069,0.013398306149713957,11
0.24051846120446474,251,130,10,0.7900167982752008,0.010149759568910854,12
0.08341356413528254,470,155,5,0.790015475576366,0.010412323590349097,13
0.30863347784735523,233,173,11,0.790015475576366,0.008848367812792201,13
0.3592119003448989,110,119,9,0.790014946496832,0.012067534704853021,15
0.2849255659506307,294,211,5,0.7897858550586616,0.0103182623774187,16
0.2223472644192875,218,115,3,0.7897850614393609,0.011005297730574076,17
0.2847438401098569,234,223,10,0.7895564990807243,0.012051645702616515,18
0.36694133539394924,107,216,8,0.7895554409216566,0.012112611544847976,19
0.1995485376429491,507,129,7,0.7893282012618548,0.008081421456467314,20
0.21156963291161796,382,108,6,0.7893252913244183,0.009167606924986261,21
0.3596188912402843,166,147,11,0.7893244977051175,0.01380569575975818,22
0.09298387812142092,473,227,11,0.7890964644260149,0.008454647769080347,23
0.06899480284510617,476,103,5,0.7888631403515733,0.012868290336738879,24
0.32076285096590235,173,73,3,0.788638281549674,0.0045114845927835415,25
0.23848270897377902,197,88,6,0.788633784373636,0.012192841711190314,26
0.12555520060904904,457,201,8,0.7884054865547664,0.008273453039961718,27
0.17856929817384043,440,201,11,0.7884052220149995,0.008469487471303433,28
0.2844843113487235,208,189,3,0.788176395116596,0.01105326726952962,29
0.09994615713754725,501,175,2,0.7881756014972952,0.011697206347382198,30
0.12430652328161086,364,238,6,0.7881750724177612,0.009541982066751463,31
0.2261283648475206,377,131,2,0.7879473036784255,0.007539937218756592,32
0.08107312283330556,386,151,8,0.7879457164398239,0.008960283558050225,33
0.09754393580737433,473,214,9,0.7877153023028187,0.010470992744362676,34
0.35035772764154693,159,90,7,0.7877145086835179,0.010306752236509396,35
0.12483057783442597,247,143,9,0.7874856817851144,0.010252179995140078,36
0.21545087674739039,235,200,7,0.7874851527055805,0.008036512902788723,37
0.21395002820954326,168,173,7,0.7872573839662448,0.010513746916381047,38
0.08685964606250982,449,18,2,0.7872539449492745,0.012963183807023286,39
0.4634083364570178,378,220,4,0.7867962911524675,0.009601517273023509,40
0.3452550776054035,226,118,7,0.7865674642540641,0.006398169631558636,41
0.48414168377767686,149,27,3,0.7863370501170588,0.00636437975306037,42
0.07477244075125093,501,228,8,0.7861047842016852,0.011150059344249896,43
0.11431914933978085,331,250,2,0.7858751636839807,0.010028836103721616,44
0.39983376151202965,421,160,10,0.7856468658651112,0.012466423973527629,45
0.40649201455162537,500,163,4,0.7849572106926973,0.008635831645360253,46
0.3873643865753927,91,227,8,0.7849537716757271,0.0108825646914127,47
0.6095052326923426,99,137,5,0.7847273256352262,0.006560632439751466,48
0.17372373362717247,198,35,5,0.7844947951800855,0.008379142906648249,49
0.21882646094578403,338,64,8,0.7842672909805166,0.0066507495346519434,50
0.18786189844660106,201,31,5,0.7842667619009828,0.007384326984991194,51
0.5394641583299925,252,246,4,0.7840339669060752,0.014565261474594344,52
0.32747228472850637,508,144,7,0.7835757840297343,0.008023101830616271,53
0.3311739577601729,299,115,6,0.7835755194899672,0.011814669275346764,54
