learning_rate,n_estimators,min_samples_leaf,min_samples_split,mean_test_score,std_test_score,rank_test_score
0.7822099829327618,463,119,6,0.9250199066174624,0.006717546878871133,1
0.8839752704016227,451,117,4,0.9247916087985926,0.005092260124749809,2
0.9190812796583866,368,132,11,0.9247886988611563,0.008414536404454345,3
0.31029250023751725,371,51,6,0.9245614592013544,0.006464444373678509,4
0.4491513400126999,360,146,9,0.9241006309273441,0.00547630846636249,5
0.5359921905816606,368,131,2,0.9238712749494068,0.00697281004376701,6
0.9254782130598433,369,45,2,0.9234101821356294,0.0052169851421417415,7
0.8297185578924487,247,157,8,0.9229519992592886,0.007134981917819571,8
0.5901903659487927,461,118,8,0.9229509411002208,0.004913217307207373,9
0.3093127661634105,501,96,4,0.9227229078211181,0.0013513266144370515,10
0.9019926038030591,480,80,5,0.9222623440868748,0.0021599912533681216,11
0.31909731366461125,323,161,3,0.9220319299498696,0.003148529412750307,12
0.3631689070038113,421,111,11,0.922030342711268,0.007838975356935582,13
0.350210537049235,367,86,3,0.9215729534542281,0.006439088471397104,14
0.5609194565262727,262,42,6,0.9213409520786211,0.005963445138103293,15
0.33393247411420973,426,25,2,0.9204206182294353,0.00694320778553462,16
0.35269220394240364,387,5,2,0.9201928494900997,0.011654790674747935,17
0.4169214038556731,378,79,5,0.9201891459333623,0.010151686571524874,18
0.3733705623876857,324,165,4,0.9199619062735606,0.004930582588451511,19
0.44306512984600294,303,19,11,0.9199611126542597,0.00787216505042121,20
0.3287265615257891,336,112,8,0.9199603190349588,0.006564648933020219,21
0.3579963122946599,294,73,11,0.9199600544951918,0.008149026138838866,22
0.4546382705262647,301,69,8,0.9197304339774878,0.005257851910672641,23
0.43164851186010744,273,173,9,0.9195029297779189,0.004118695353163145,24
0.23003240059271454,500,107,10,0.9195008134597833,0.006244296336794773,25
0.8584209398496798,318,42,9,0.9194989616814148,0.011273226930208017,26
0.7557032372231988,222,134,6,0.9192706638625451,0.0054026905113925576,27
0.29578465047760694,438,207,6,0.9192688120841765,0.008781869327447017,28
0.6689191584152899,382,22,3,0.918813539145272,0.003949505683381511,29
0.17824228247527402,506,83,5,0.9188119519066703,0.006782361200520518,30
0.25268650895825906,393,103,4,0.91835112363266,0.004916088764571775,31
0.48498767948272575,170,8,4,0.9178942634551539,0.007941127504025793,32
0.23468235830584794,506,176,4,0.917431583402775,0.006037604169640251,33
0.906379922584729,170,22,4,0.9169710196685317,0.005148958735468874,34
0.280817247517153,321,232,8,0.9167424573098952,0.004708983692893142,35
0.2935049093168073,480,241,10,0.9165117786331229,0.003495676827492141,36
0.26577740060432653,290,77,9,0.916511514093356,0.005402055321537187,37
0.4439072098090976,163,193,4,0.9160530666772482,0.0028251802554167095,38
0.7637505061498695,505,231,7,0.9160520085181805,0.00456804044754469,39
0.22939032183794666,390,214,10,0.9160514794386465,0.006366219794964255,40
0.5264613173325524,186,184,3,0.9158234461595439,0.006098367261568002,41
0.661515616999031,165,214,3,0.9155911802441702,0.006475681517833657,42
0.16272354394772176,480,128,7,0.9153623533457667,0.003844162661182451,43
0.13582797741285765,500,224,8,0.9151327328280624,0.00611357871199723,44
0.2862150010565984,320,240,9,0.9149017896115235,0.006153417741142862,45
0.8573440523823205,145,46,4,0.9146719045540521,0.006422327523709545,46
0.149042718890583,466,109,3,0.914210547200508,0.0071462896029102895,47
0.5690435142337313,223,238,11,0.9137526288639339,0.004497948863416148,48
0.1564898173327712,316,143,2,0.9123735830588732,0.007216931359780068,49
0.3050367129476292,205,223,5,0.9121418462230334,0.0035004948749280756,50
