learning_rate,n_estimators,min_samples_leaf,min_samples_split,mean_test_score,std_test_score,rank_test_score
0.2236977504855185,316,142,3,0.8981125087628797,0.006433276883905648,1
0.3520655998646155,231,212,5,0.8976532677274711,0.006831861783048809,2
0.19381188421988269,399,6,10,0.8969649352538921,0.004319321081650781,3
0.7446073072719247,311,97,3,0.8969636125550574,0.0041630489231152265,4
0.35411716087436795,267,213,9,0.8969630834755234,0.006781459562978239,5
0.269713160422305,325,193,4,0.8967339920373529,0.007674517872801315,6
0.4663361114245613,173,62,2,0.8967321402589844,0.005733700634351897,7
0.1989361806148333,369,162,4,0.8967321402589844,0.0062209869049648,7
0.24340942831447412,388,135,11,0.8960424850865707,0.0075645534214688614,9
0.2083356287134665,361,205,10,0.8955858894488313,0.005571889676202425,10
0.29052645491752505,373,108,10,0.8955843022102297,0.008581779296060273,11
0.39098486499205504,373,206,3,0.8955837731306959,0.004630255750460346,12
0.4527207617700064,460,138,3,0.8951224157771517,0.006977509217354475,13
0.46328597189415155,231,93,6,0.8948959697366506,0.00758753978701342,14
0.5242074473624688,348,169,4,0.8948938534185151,0.004465558957850974,15
0.4676732969684501,393,173,10,0.8944343478433396,0.0028480390377911505,16
0.9686882221991177,317,64,2,0.8944314379059032,0.007469993727743489,17
0.7069292085953376,242,138,10,0.8942041982461012,0.0048256315379646645,18
0.7161781290635248,426,62,9,0.8942036691665673,0.004552839399983065,19
0.34466099653945526,489,26,10,0.8939743131886301,0.007602444490013358,20
0.16751666392396913,455,231,8,0.8935161303122893,0.008284516451999657,21
0.43993184793382845,484,182,4,0.8932865097945848,0.007573502773652637,22
0.9906355142011896,315,18,2,0.8932865097945848,0.004570665592209367,22
0.4100438915336497,349,161,10,0.893286245254818,0.004152460287488735,24
0.5049078160463435,204,233,10,0.8932828062378476,0.0037078599620013835,25
0.22621931229610454,281,102,4,0.8932820126185469,0.009491161540799455,26
0.5871789523710237,399,33,4,0.8930539793394441,0.007418164391259023,27
0.2578021022940309,351,245,7,0.8930539793394441,0.008635699320732059,27
0.23943863829238213,389,238,4,0.8930531857201434,0.0049011184883891975,29
0.5996185264571164,423,77,7,0.8928230361229051,0.004707930330007654,30
0.4666332974025149,279,98,9,0.8928227715831382,0.004114124836859653,31
0.43443144074926626,300,20,8,0.8928219779638376,0.008738716601489449,32
0.35802474426191505,318,46,8,0.8925931510654339,0.0048259103307805255,33
0.21393117666546885,344,231,9,0.8923653823260981,0.006629503842211525,34
0.22802150648563874,305,1,2,0.8923653823260981,0.008294028621721208,34
0.9391718673676146,226,86,3,0.8923640596272634,0.005176032428113453,36
0.4983350671569349,195,152,3,0.8923637950874965,0.009388997109420304,37
0.30941007231669654,490,30,9,0.8921336454902583,0.006807481005273491,38
0.43383476879057,384,12,10,0.8919066703702233,0.012424593991072416,39
0.9557170460579839,378,161,10,0.8919042895123208,0.00682413545984296,40
0.7115395640729365,313,55,9,0.8919034958930201,0.00622568959884142,41
0.5292484219600817,201,229,3,0.8916759916934514,0.005524760646171144,42
0.2559454717641222,169,101,3,0.8916722881367143,0.006755164074939196,43
0.5856828473960193,327,209,6,0.891446371175747,0.00543009577106154,44
0.10718880351346197,504,129,6,0.8914439903178446,0.00831278739667267,45
0.6857015507531317,108,76,6,0.8914431966985437,0.003566877820521056,46
0.785276017458656,138,195,3,0.8909858074415036,0.006696355008303733,47
0.10486483979057099,482,170,11,0.8909836911233681,0.00669159134807725,48
0.12722532495495606,483,55,9,0.8909821038847665,0.008333842861750995,49
0.14248432354768803,470,13,2,0.8907538060658968,0.006263187319979163,50
0.1459570435650642,476,89,4,0.8907535415261298,0.003512137844427812,51
0.766870078585575,287,100,9,0.8907532769863629,0.006441358655126997,52
0.40940312352003055,384,29,11,0.8902932423316535,0.005492914613704834,53
0.1131238931321753,361,9,9,0.8900654735923178,0.00568562215796768,54
0.14766497761162029,400,253,6,0.8898363821541473,0.008711743901993366,55
0.18695022134179712,213,10,4,0.8898355885348466,0.005579750537855731,56
0.756200489615724,252,33,8,0.8898342658360118,0.005062085473878987,57
0.10015384693959832,417,179,5,0.8896049098580743,0.0063295357085651986,58
0.4490431517212443,195,7,8,0.8896033226194728,0.006838044905005367,59
0.9168307884111897,221,77,8,0.8893734375620015,0.007790711317101977,60
0.34614975789611097,145,46,9,0.8893729084824677,0.0062155466503134,61
0.10854815659239594,342,75,10,0.8889155192254276,0.006982137814579774,62
0.10193196716569333,361,20,5,0.8889152546856606,0.00800513925586935,63
0.11588176542184873,412,211,5,0.8884562781900189,0.005153444508551919,64
0.16447847309591052,208,47,5,0.8879928045183393,0.003936719137197019,65
0.3355783727025269,105,192,2,0.887766623017605,0.007440356122547754,66
0.10104849122659754,396,8,6,0.8875362088806,0.006284571698987114,67
0.08990526147089636,430,122,2,0.887305265664061,0.005755370578428146,68
0.2501665305287069,191,7,9,0.8870753806065897,0.002819653492412768,69
0.08946244337969722,407,120,5,0.8868460246286523,0.008571244534077153,70
0.08953032924971521,499,250,10,0.8863883708318452,0.007825368029619133,71
0.6235564316472637,388,234,11,0.88615451767787,0.005818651824933967,72
